id,label
1,PRODUCT > MISC. BEVERAGES
2,PRODUCT > CURD
3,PRODUCT > MEAT SPREADS
4,PRODUCT > SPREAD CHEESE
5,PRODUCT > BUTTER
6,PRODUCT > LIQUOR
7,PRODUCT > RED/BLUSH WINE
8,PRODUCT > WHITE WINE
9,PRODUCT > MALE COSMETICS
10,PRODUCT > TURKEY
11,PRODUCT > HERBS
12,PRODUCT > HAMBURGER MEAT
13,PRODUCT > ONIONS
14,PRODUCT > WHOLE MILK
15,PRODUCT > SAUSAGE
16,PRODUCT > FRANKFURTER
17,PRODUCT > TROPICAL FRUIT
18,PRODUCT > OTHER VEGETABLES
19,PRODUCT > COFFEE
20,PRODUCT > NEWSPAPERS
21,PRODUCT > ROOT VEGETABLES
22,PRODUCT > SHOPPING BAGS
23,PRODUCT > FRUIT/VEGETABLE JUICE
24,PRODUCT > SODA
25,PRODUCT > MARGARINE
26,PRODUCT > PASTRY
27,PRODUCT > BEEF
28,PRODUCT > PORK
29,PRODUCT > WHIPPED/SOUR CREAM
30,PRODUCT > CREAM CHEESE 
31,PRODUCT > DOMESTIC EGGS
32,PRODUCT > CANNED BEER
33,PRODUCT > YOGURT
34,PRODUCT > FROZEN VEGETABLES
35,PRODUCT > BOTTLED BEER
36,PRODUCT > BOTTLED WATER
37,PRODUCT > CHICKEN
38,PRODUCT > CITRUS FRUIT
39,PRODUCT > MEAT
40,PRODUCT > SALTY SNACK
41,PRODUCT > LONG LIFE BAKERY PRODUCT
42,PRODUCT > CHOCOLATE
43,PRODUCT > UHT-MILK
44,PRODUCT > NAPKINS
45,PRODUCT > BERRIES
46,PRODUCT > HAM
47,PRODUCT > SUGAR
48,PRODUCT > BUTTER MILK
49,PRODUCT > WAFFLES
50,PRODUCT > SLICED CHEESE
51,PRODUCT > CAT FOOD
52,PRODUCT > CANDY
53,PRODUCT > HYGIENE ARTICLES
54,PRODUCT > HARD CHEESE
55,PRODUCT > OIL
56,PRODUCT > FLOUR
57,PRODUCT > SPECIALTY CHOCOLATE
58,PRODUCT > PROCESSED CHEESE
59,PRODUCT > SOFT CHEESE
60,PRODUCT > SEMI-FINISHED BREAD
61,PRODUCT > SPECIALTY BAR
62,PRODUCT > GRAPES
63,PRODUCT > PIP FRUIT
64,PRODUCT > BAKING POWDER
65,PRODUCT > MUSTARD
66,PRODUCT > DESSERT
67,PRODUCT > FROZEN FISH
68,PRODUCT > DISHES
69,PRODUCT > PACKAGED FRUIT/VEGETABLES
70,PRODUCT > BEVERAGES
71,PRODUCT > CAKE BAR
72,PRODUCT > MAYONNAISE
73,PRODUCT > SALT
74,PRODUCT > POPCORN
75,PRODUCT > FINISHED PRODUCTS
76,PRODUCT > ROLLS/BUNS
77,PRODUCT > LIVER LOAF
78,PRODUCT > POT PLANTS
79,PRODUCT > CHEWING GUM
80,PRODUCT > WHITE BREAD
81,PRODUCT > FROZEN MEALS
82,PRODUCT > SEASONAL PRODUCTS
83,PRODUCT > LIQUOR (APPETIZER)
84,PRODUCT > BROWN BREAD
85,PRODUCT > PET CARE
86,PRODUCT > ICE CREAM
87,PRODUCT > CANNED FISH
88,PRODUCT > FROZEN DESSERT
89,PRODUCT > INSTANT COFFEE
90,PRODUCT > INSTANT FOOD PRODUCTS
91,PRODUCT > FROZEN POTATO PRODUCTS
